id,created_at,title,date_started,date_finished,updated_at,trello_id,cover_attachment
42,2018-12-16 22:39:30.229682+00,How to Win Friends and Influence People,2016-03-28 20:35:20.608+00,2016-04-10 01:07:18.263+00,2021-08-14 06:00:50.527407+00,56f0620d8bfe5f64fbbec897,"{""id"": ""5eb80eff9e0b638cb23181f0"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/56f0620d8bfe5f64fbbec897/attachments/5eb80eff9e0b638cb23181f0/download/how-to-win-friends.jpg"", ""date"": ""2020-05-10T14:26:07.304Z"", ""name"": ""how-to-win-friends.jpg"", ""bytes"": 46905, ""fileName"": ""how-to-win-friends.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#d21b1d""}"
157,2020-08-02 06:01:18.729095+00,Praying for Your Pastor,2020-07-26 15:08:46.059+00,2020-08-01 14:45:27.226+00,2021-08-14 06:00:51.979737+00,5a91b93a8a27304e9da4aa23,"{""id"": ""5f15f6ae4e98ba8076247b0a"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5a91b93a8a27304e9da4aa23/attachments/5f15f6ae4e98ba8076247b0a/download/praying-for-your-pastor.png"", ""date"": ""2020-07-20T19:55:26.877Z"", ""name"": ""praying-for-your-pastor.png"", ""bytes"": 299085, ""fileName"": ""praying-for-your-pastor.png"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/png"", ""edgeColor"": ""#ddc6a6""}"
63,2018-12-16 22:42:54.127869+00,Renewal As a Way of Life,2016-09-25 21:39:23.213+00,2016-10-07 21:09:53.365+00,2021-08-14 06:00:52.306428+00,57dd849fdc3598384c41507f,"{""id"": ""5eb80b2259f7883050bb7efb"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/57dd849fdc3598384c41507f/attachments/5eb80b2259f7883050bb7efb/download/renewal.jpg"", ""date"": ""2020-05-10T14:09:38.127Z"", ""name"": ""renewal.jpg"", ""bytes"": 15677, ""fileName"": ""renewal.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#e8ead9""}"
171,2020-12-30 06:01:24.863424+00,The Hundred-Page Machine Learning Book,2020-12-18 04:00:29.65+00,2020-12-29 14:51:52.306+00,2021-08-14 06:00:50.603176+00,5fdc28d86c2c8d025101dc0b,"{""id"": ""5fdc293fc0f02579196c2fcf"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5fdc28d86c2c8d025101dc0b/attachments/5fdc293fc0f02579196c2fcf/download/themlbook.jpg"", ""date"": ""2020-12-18T03:59:59.350Z"", ""name"": ""themlbook.jpg"", ""bytes"": 18727, ""fileName"": ""themlbook.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#3d3e3d""}"
156,2020-07-25 17:16:52.383126+00,14 Habits of Highly Productive Developers,2020-07-21 13:43:18.554+00,2020-07-25 14:00:00.057+00,2021-08-14 06:00:47.483636+00,5f14ba3128ff6b1699af632d,"{""id"": ""5f15f645bc72d676a7d2034d"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5f14ba3128ff6b1699af632d/attachments/5f15f645bc72d676a7d2034d/download/14-habits.jpg"", ""date"": ""2020-07-20T19:53:41.552Z"", ""name"": ""14-habits.jpg"", ""bytes"": 28937, ""fileName"": ""14-habits.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#430b98""}"
159,2020-09-06 21:59:52.598296+00,Reprogramming the American Dream: From Rural America to Silicon Valley―Making AI Serve Us All,2020-08-27 23:02:45.346+00,2020-09-06 15:08:24.926+00,2021-08-14 06:00:52.346216+00,5e94a69dc514251a40fcf972,"{""id"": ""5f48279350883b28851c3114"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/5e94a69dc514251a40fcf972/attachments/5f48279350883b28851c3114/download/cover.jpg"", ""date"": ""2020-08-27T21:37:23.661Z"", ""name"": ""cover.jpg"", ""bytes"": 112202, ""fileName"": ""cover.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#8897bb""}"
82,2018-12-16 22:54:19.968412+00,Wives and Daughters,2018-06-07 04:08:27.662+00,2018-07-06 04:56:47.73+00,2021-08-14 06:00:53.932172+00,564d07a87721d8698ff010f6,"{""id"": ""5ea5a1a9d64974020348c55c"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/564d07a87721d8698ff010f6/attachments/5ea5a1a9d64974020348c55c/download/wives-and-daughters.jpg"", ""date"": ""2020-04-26T14:58:49.847Z"", ""name"": ""wives-and-daughters.jpg"", ""bytes"": 38936, ""fileName"": ""wives-and-daughters.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#d98187""}"
167,2020-11-28 06:00:32.037827+00,The Fellowship of the Ring,2020-11-07 04:18:55.222+00,2020-11-28 05:23:45.88+00,2021-08-14 06:00:49.487586+00,58e0004415d417986f7fd623,"{""id"": ""5fa62018753c0f03171bb193"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/58e0004415d417986f7fd623/attachments/5fa62018753c0f03171bb193/download/61uFYcoYRRL._SL500_.jpg"", ""date"": ""2020-11-07T04:18:32.272Z"", ""name"": ""61uFYcoYRRL._SL500_.jpg"", ""bytes"": 78608, ""fileName"": ""61uFYcoYRRL._SL500_.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#8c3f3d""}"
164,2020-11-06 04:03:10.288496+00,The Hobbit,2020-10-19 21:34:24.661+00,2020-11-06 03:45:00.407+00,2021-08-14 06:00:50.360942+00,58e0002a6dcee9653c7fe537,"{""id"": ""5f8dead2407a08101a615290"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/58e0002a6dcee9653c7fe537/attachments/5f8dead2407a08101a615290/download/the-hobbit.jpg"", ""date"": ""2020-10-19T19:36:50.166Z"", ""name"": ""the-hobbit.jpg"", ""bytes"": 38450, ""fileName"": ""the-hobbit.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": ""image/jpeg"", ""edgeColor"": ""#ab1b2e""}"
140,2019-11-09 22:42:43.130747+00,Ivanhoe,2019-10-13 14:03:18.396+00,2019-11-09 21:53:40.702+00,2021-08-14 06:00:50.716356+00,564d07a97721d8698ff0111c,"{""id"": ""5dc4ea36008e4604760e079b"", ""pos"": 16384, ""url"": ""https://trello.com/1/cards/564d07a97721d8698ff0111c/attachments/5dc4ea36008e4604760e079b/download/9781593082468_p0_v1_s600x595.jpg"", ""date"": ""2019-11-08T04:08:22.207Z"", ""name"": ""9781593082468_p0_v1_s600x595.jpg"", ""bytes"": 42656, ""fileName"": ""9781593082468_p0_v1_s600x595.jpg"", ""idMember"": ""53262f3fb2c5a1471e13dfe0"", ""isUpload"": true, ""mimeType"": null, ""edgeColor"": ""#2d4c3d""}"
